gene	0h	3h	12h	24h	48h
1110008H02Rik	11.45931715	10.30195758	10.2530408	9.455329918	9.206197463
Cenpa	7.093632551	7.948248834	7.801869736	6.06603578	4.840992213
Mybbp1a	9.864998077	10.03912221	9.170328946	8.07142722	7.613547705
Chchd6	8.067738568	8.186767517	7.189437391	6.77898833	5.818287264
Tnfrsf19	5.664149737	3.995320032	3.679586162	3.586354699	3.41636936
MGC28431	6.267873275	4.902066568	4.868817376	4.51073108	4.022108642
5830416P10Rik	9.189355325	6.156880729	6.066519871	7.370060203	6.946274839
Mcm6	8.830034948	10.28608134	9.917472693	6.405543887	6.587104044
Tdp1	7.870392973	7.619539591	6.974212663	6.252074295	5.62832157
Myom1	5.442051459	4.60648878	3.776459034	3.796539417	3.200296882
Ppil1	8.231915659	8.460026647	8.29781892	6.861135739	5.993088714
Dyrk3	7.479233993	5.998014855	5.922955081	5.210036528	5.243217501
1700048O20Rik	8.5642483	6.928372431	6.610033967	6.457090325	6.330547161
6720418B01Rik	7.197528294	4.622692442	5.816749973	5.010407109	4.966160148
Ltk	7.743156534	6.876266169	6.659887505	6.201270418	5.517376672
zfp507	6.430530058	6.170919719	5.613405396	5.066061014	4.207380605
Pdcd2	9.456344868	8.700854581	8.784056972	8.081089254	7.233382255
Kif2c	6.165958254	7.806446795	7.199217792	5.425157677	3.94417592
E130306D19Rik	6.212820597	6.942348243	6.413563006	4.647035222	3.992226985
